sentence_id,documento,orden_frase,frase_original,frase_normalizada,n_palabras,n_positivo,n_negativo,polaridad_bruta,polaridad_normalizada,etiqueta_polaridad,palabras_positivas_detectadas,palabras_negativas_detectadas
filipinas_000014,filipinas,14,"El hombre, á medida que las ideas de justicia se vayan abriendo paso en el fondo oscuro de la conciencia, elevará á la mujer al pedestal que la corresponde: hará que la niña se instruya y se eduque conforme á su destino incumba; hará que la madre, primer agente poderoso de la moralidad social, hay recibido todos los conocimientos y conceptos que necesita para que su influencia en la niña, en el niño y en el hombre tenga toda la eficacia y trascendencia que la reputan posible.",el hombre a medida que las ideas de justicia se vayan abriendo paso en el fondo oscuro de la conciencia elevara a la mujer al pedestal que la corresponde hara que la nina se instruya y se eduque conforme a su destino incumba hara que la madre primer agente poderoso de la moralidad social hay recibido todos los conocimientos y conceptos que necesita para que su influencia en la nina en el nino y en el hombre tenga toda la eficacia y trascendencia que la reputan posible,87,1,1,0,0.0,neutra,justicia,oscuro
filipinas_000015,filipinas,15,"De consiguiente, nos limitaremos á expoContinua en la página 165 LA MUJER ANTIGUA Y LA MUJER DE ESPIRITU MODERNO (Continuación) No tenemos mujer espiritual, gritan algunos, sin fijarse en que no han querido crearla.",de consiguiente nos limitaremos a expocontinua en la pagina 165 la mujer antigua y la mujer de espiritu moderno continuacion no tenemos mujer espiritual gritan algunos sin fijarse en que no han querido crearla,34,1,0,1,0.029411764705882353,positiva,moderno,
filipinas_000016,filipinas,16,"Sirva de contestación á ellos la frase de Fabián Vidal: Nosotros, que constantemente ponemos sitio á la virtud; de la mujer, que la hacemos vivir en un medio frivolo, donde sólo se aprecia lo exterior y brillante que nos hemos acostumbrado á considerar en la compañera una cosa tal vez querida como se quiere á un mueble, tal vez adorable como se adora á un placer, pero suponiéndola incapaz de elevarse á nuestra altura, hacémosla guardiana de la propia honra, sin reflexionar en el gran despronósito que cometemos al creerla imposibilitada de alcanzar un nivel ético igual al nuestro, y asignarla, á pesar de ello, la misión de guardar incólume el nombre que la diéramos.",sirva de contestacion a ellos la frase de fabian vidal nosotros que constantemente ponemos sitio a la virtud de la mujer que la hacemos vivir en un medio frivolo donde solo se aprecia lo exterior y brillante que nos hemos acostumbrado a considerar en la companera una cosa tal vez querida como se quiere a un mueble tal vez adorable como se adora a un placer pero suponiendola incapaz de elevarse a nuestra altura hacemosla guardiana de la propia honra sin reflexionar en el gran despronosito que cometemos al creerla imposibilitada de alcanzar un nivel etico igual al nuestro y asignarla a pesar de ello la mision de guardar incolume el nombre que la dieramos,115,2,0,2,0.017391304347826087,positiva,honra; virtud,
filipinas_000017,filipinas,17,La mujer de espíritu moderno se ya aproximando al nuevo ideal de los españoles progresivos: y nosólo realiza ese ideal la española; las latinoamericanas tiempo ha que penetraron en el campo de la ciencia y del arte.,la mujer de espiritu moderno se ya aproximando al nuevo ideal de los espanoles progresivos y nosolo realiza ese ideal la espanola las latinoamericanas tiempo ha que penetraron en el campo de la ciencia y del arte,37,2,0,2,0.05405405405405406,positiva,ciencia; moderno,
filipinas_000018,filipinas,18,"Asistí en México al doctorado de Mallde Montoya, que ejerce la Medicina en aquella República desde hace veinte años; en Chile se han doctorado dos mujeres en Jurisprudencia.",asisti en mexico al doctorado de mallde montoya que ejerce la medicina en aquella republica desde hace veinte anos en chile se han doctorado dos mujeres en jurisprudencia,28,0,0,0,0.0,neutra,,
filipinas_000019,filipinas,19,"Distinguese la mujer argentina por sus ideas avanzadas compoen las brasileñas, cubanas y portorriqueñas, música y versos con inspiración; las centroamericanas son hábiles en asuntos comerciales y administrativos; de ellas se ha dicho que podrían formar una Cámarade Comercio.",distinguese la mujer argentina por sus ideas avanzadas compoen las brasilenas cubanas y portorriquenas musica y versos con inspiracion las centroamericanas son habiles en asuntos comerciales y administrativos de ellas se ha dicho que podrian formar una camarade comercio,39,0,0,0,0.0,neutra,,
filipinas_000020,filipinas,20,"En Ecuador y Columbia, naciones de eruditos, hay muchas cultivadoras de las letras; en Venezunela, pátria del gramático Baralt, la mujer hallegado á desempeñar cargos de la Administración pública; en el Perú participa de la vida espiritual del hombre, lee á los enciclopedistas y los discute en Uruguny y Bolivía se ve á la mujer en los museos.",en ecuador y columbia naciones de eruditos hay muchas cultivadoras de las letras en venezunela patria del gramatico baralt la mujer hallegado a desempenar cargos de la administracion publica en el peru participa de la vida espiritual del hombre lee a los enciclopedistas y los discute en uruguny y bolivia se ve a la mujer en los museos,58,1,0,1,0.017241379310344827,positiva,vida,
filipinas_000021,filipinas,21,Los hembres misoneistas asústanse de una fuerza ine avanza cada día y ha de arrollar caducas instituciones; esa poderosa fuerza es la mujer intelectual.,los hembres misoneistas asustanse de una fuerza ine avanza cada dia y ha de arrollar caducas instituciones esa poderosa fuerza es la mujer intelectual,24,0,0,0,0.0,neutra,,
filipinas_000022,filipinas,22,Calumniada ha sido por los que aseveran que tiende á la masculinización.,calumniada ha sido por los que aseveran que tiende a la masculinizacion,12,0,1,-1,-0.08333333333333333,negativa,,calumniada
filipinas_000023,filipinas,23,"Al pretender privilegios de que goza el varón, no quiere renunciar al prestigio que de dan los encantos femeninos.",al pretender privilegios de que goza el varon no quiere renunciar al prestigio que de dan los encantos femeninos,19,0,0,0,0.0,neutra,,
filipinas_000024,filipinas,24,"No temaís que seconvierta la mujer intelectual en marimacho, en sér hibrido: ella tiene el culto de su belleza.",no temais que seconvierta la mujer intelectual en marimacho en ser hibrido ella tiene el culto de su belleza,19,2,0,2,0.10526315789473684,positiva,belleza; culto,
filipinas_000025,filipinas,25,"La mujer de raza latina especialmente, es muy femenina: Mad.",la mujer de raza latina especialmente es muy femenina mad,10,0,0,0,0.0,neutra,,
filipinas_000026,filipinas,26,"Stal cuidaba más que sus laureles las hojas otoñales. de su vida, dandoles color artificial.",stal cuidaba mas que sus laureles las hojas otonales de su vida dandoles color artificial,15,1,0,1,0.06666666666666667,positiva,vida,
filipinas_000027,filipinas,27,La salvaje es más hombruna que la civilizada.,la salvaje es mas hombruna que la civilizada,8,0,0,0,0.0,neutra,,
filipinas_000028,filipinas,28,"Termina en la página 166 FILIPINAS UNA CIUDAD DE SUEÑOS mos buscando alguna manifestación de ese despertar, por que naturalmente pensabamos que si Guanajuato hubiese despertado, algunos de los Ingares contignos al ferrocarril deberlan kaber particinado en la catástrofe.",termina en la pagina 166 filipinas una ciudad de suenos mos buscando alguna manifestacion de ese despertar por que naturalmente pensabamos que si guanajuato hubiese despertado algunos de los ingares contignos al ferrocarril deberlan kaber particinado en la catastrofe,39,1,0,1,0.02564102564102564,positiva,despertar,
filipinas_000029,filipinas,29,"En Tulaen donde las brisas en un dia de verano semejan en mucho respiraciones de los cieloslas mismas mujeres y niños llevaban idénticas preparaciones alimenticias cargadas de pimienta, y las mismas muchahitas corrían hacinlas ventanas del carro con morenos jarrones de pulque.",en tulaen donde las brisas en un dia de verano semejan en mucho respiraciones de los cieloslas mismas mujeres y ninos llevaban identicas preparaciones alimenticias cargadas de pimienta y las mismas muchahitas corrian hacinlas ventanas del carro con morenos jarrones de pulque,42,0,0,0,0.0,neutra,,
filipinas_000030,filipinas,30,"En la parte alta, al través del hermoso valle de San Juan del Rio, todo era lo mismo, el mismo pueblo vendía las mismas manufacturas de loza y los mismos pordioseros ciegos extendían hácia el viajero sus sombreros encios.",en la parte alta al traves del hermoso valle de san juan del rio todo era lo mismo el mismo pueblo vendia las mismas manufacturas de loza y los mismos pordioseros ciegos extendian hacia el viajero sus sombreros encios,39,1,0,1,0.02564102564102564,positiva,hermoso,
filipinas_000031,filipinas,31,"En Querétaro, la antigua, la histórica. la original y hermosa—el lugar donde Maximiliano fué fusiladolas mismas mujeres ofrecían sus fuentes de porcelana enguinaldada rebosando alimentos y café, y no aparecía ningún despertar.",en queretaro la antigua la historica la original y hermosa el lugar donde maximiliano fue fusiladolas mismas mujeres ofrecian sus fuentes de porcelana enguinaldada rebosando alimentos y cafe y no aparecia ningun despertar,33,2,0,2,0.06060606060606061,positiva,despertar; hermosa,
filipinas_000032,filipinas,32,"Finalmente arribamos á Salao, en dondo teníamos que cambiar carros á un ferrocarril diminuto que sa abre camino serpenteando por entre las colinas en dirección á Guanainato; pero decidimos que si debíamos presenciar el espectáculo de la antigua cindad despierta, habríamos de hacerlo á la luz del día, y por un noce más soñaríamos con ella como la conocimos primero Encontramos alojamiento en un viejo hotel mexicano alumbrado cun velas, y desde uno de sus balcones conHASTA LA TUMBA... (Conclusión) Aquella melancolía que sentía cuando su amado se encerró en el más profundo silencio. degeneró en tédio inmenso cuando supo que Pene se desligaba de su palabra; más tarde supo el provectado matrimonio del ingratoBentía hastío de la vida, y si no ponía fin á su existencia fué porone ella era una católica ferviente.",finalmente arribamos a salao en dondo teniamos que cambiar carros a un ferrocarril diminuto que sa abre camino serpenteando por entre las colinas en direccion a guanainato pero decidimos que si debiamos presenciar el espectaculo de la antigua cindad despierta habriamos de hacerlo a la luz del dia y por un noce mas sonariamos con ella como la conocimos primero encontramos alojamiento en un viejo hotel mexicano alumbrado cun velas y desde uno de sus balcones conhasta la tumba conclusion aquella melancolia que sentia cuando su amado se encerro en el mas profundo silencio degenero en tedio inmenso cuando supo que pene se desligaba de su palabra mas tarde supo el provectado matrimonio del ingratobentia hastio de la vida y si no ponia fin a su existencia fue porone ella era una catolica ferviente,134,4,3,1,0.007462686567164179,positiva,amado; despierta; luz; vida,desligaba; hastio; melancolia
filipinas_000033,filipinas,33,Su salud iba decavendo cada día y en vano los médicos la prodigaban toda clase de medicamentos.,su salud iba decavendo cada dia y en vano los medicos la prodigaban toda clase de medicamentos,17,1,1,0,0.0,neutra,salud,vano
filipinas_000034,filipinas,34,"La ciencia se mostraba impotente ante el mal que padecía, Su enfermedad más bien era moral que fípica.",la ciencia se mostraba impotente ante el mal que padecia su enfermedad mas bien era moral que fipica,18,2,2,0,0.0,neutra,bien; ciencia,enfermedad; mal
filipinas_000035,filipinas,35,"Cuando el espíritu sufre, el cuerpo padece y no hay materin bastante fuerle que pueda resistir los padecimientos morales.",cuando el espiritu sufre el cuerpo padece y no hay materin bastante fuerle que pueda resistir los padecimientos morales,19,0,2,-2,-0.10526315789473684,negativa,,padecimientos; sufre
filipinas_000036,filipinas,36,Hay males que residen en el corazón y no hay ciencia que pueda curar los padecimientos de ese santuario del alma.,hay males que residen en el corazon y no hay ciencia que pueda curar los padecimientos de ese santuario del alma,21,2,2,0,0.0,neutra,alma; ciencia,males; padecimientos
filipinas_000037,filipinas,37,"A los cuatro meses signientes á aquel en que recibió la fatal noticia Tinding, tronchada por el vendabal del sufrimiento y aniquilada bajo el peso del infortunio, exhaló su último suepiro en brazos de la Religión.",a los cuatro meses signientes a aquel en que recibio la fatal noticia tinding tronchada por el vendabal del sufrimiento y aniquilada bajo el peso del infortunio exhalo su ultimo suepiro en brazos de la religion,36,0,4,-4,-0.1111111111111111,negativa,,fatal; infortunio; peso; sufrimiento
filipinas_000038,filipinas,38,El amor es para el hombre un episodio; para la mujer es la vida.,el amor es para el hombre un episodio para la mujer es la vida,14,2,0,2,0.14285714285714285,positiva,amor; vida,
filipinas_000039,filipinas,39,Tinding juró amar á Pepe eternamente bajó á la tumba sin olvidar su juramentoTinding no existe; su nombre se ha borrado del gran libro de los vivos; su cadaver descansa en el hueco de un nicho en el cementerio de Pako.,tinding juro amar a pepe eternamente bajo a la tumba sin olvidar su juramentotinding no existe su nombre se ha borrado del gran libro de los vivos su cadaver descansa en el hueco de un nicho en el cementerio de pako,41,1,0,1,0.024390243902439025,positiva,amar,
filipinas_000040,filipinas,40,"Sobre el frio mármol de su sepulcro está grabada esta inscripción: ¡Tinding! En cuanto á Pepe, su esposa le abondonó signiendo á un inglés.",sobre el frio marmol de su sepulcro esta grabada esta inscripcion tinding en cuanto a pepe su esposa le abondono signiendo a un ingles,24,0,0,0,0.0,neutra,,
filipinas_000041,filipinas,41,"Lacerado en corazón por la infidelidad de su esnosa, abandonó Hongkong y se vino á Manila donde supo la muerte de Tinding, que murrió perdonándole.",lacerado en corazon por la infidelidad de su esnosa abandono hongkong y se vino a manila donde supo la muerte de tinding que murrio perdonandole,25,0,2,-2,-0.08,negativa,,abandono; muerte
filipinas_000042,filipinas,42,FELISBERTA SOLIONGKO. templamos la nueva luna llena ir apareciendo en el firmamento con su corte de estrellas.,felisberta soliongko templamos la nueva luna llena ir apareciendo en el firmamento con su corte de estrellas,17,0,0,0,0.0,neutra,,
filipinas_000043,filipinas,43,"La fragancia de una nocturna madreselva en flor flotaba sobre el antigno patio, y en toda la inmensa llanura y en las colinas azules reverberaba una luz de oro y reinaba un silencio deleitoso Indudablemente, aqui no se había despertado.",la fragancia de una nocturna madreselva en flor flotaba sobre el antigno patio y en toda la inmensa llanura y en las colinas azules reverberaba una luz de oro y reinaba un silencio deleitoso indudablemente aqui no se habia despertado,40,1,0,1,0.025,positiva,luz,
filipinas_000044,filipinas,44,"Temprano, á la mañana signiente, salimos para Marfil, la adormecida aldehuela medio morisos que guarda la entrada al barranco en donde Guanajuato se oculta.",temprano a la manana signiente salimos para marfil la adormecida aldehuela medio morisos que guarda la entrada al barranco en donde guanajuato se oculta,24,0,0,0,0.0,neutra,,
filipinas_000045,filipinas,45,"De Marfil á la Continúa en la página 165 ""FILIPINAS"" 165 ABANICOS Porta abanicos Sombreros Costureros Hilos y Algodone BAZAR LA PUERTA DEL SOL 49 Escolta 49 GRAN SURTIDO EN Peinetas con y sin piedras Crepes-Postizos y Rizos La educación y la enseñanza en la mujer Continuación de la página 163 ner los principios en que debieran fundarse la educación y enseñanza de la mujer, esperando que otras ú otros, si conocen que nos hemos extraviado, corregirán luego nuestro trabajo y presentarán más acertados planes con objeto de procurar á la humanidad la mayor suma posible de dicha y placeres, y al progreso nuevas fuentes de prosperidad y desarrollo, objeto que es el único que acariciamos en nuestro deseo El ejercicio habitual de un órgano cualquiera á la vez que desarrolla, lo hace más fuerte. más vivo ó enérgico y produce el hábito ó la aptitud.",de marfil a la continua en la pagina 165 filipinas 165 abanicos porta abanicos sombreros costureros hilos y algodone bazar la puerta del sol 49 escolta 49 gran surtido en peinetas con y sin piedras crepes postizos y rizos la educacion y la ensenanza en la mujer continuacion de la pagina 163 ner los principios en que debieran fundarse la educacion y ensenanza de la mujer esperando que otras u otros si conocen que nos hemos extraviado corregiran luego nuestro trabajo y presentaran mas acertados planes con objeto de procurar a la humanidad la mayor suma posible de dicha y placeres y al progreso nuevas fuentes de prosperidad y desarrollo objeto que es el unico que acariciamos en nuestro deseo el ejercicio habitual de un organo cualquiera a la vez que desarrolla lo hace mas fuerte mas vivo o energico y produce el habito o la aptitud,147,8,0,8,0.05442176870748299,positiva,desarrollo; dicha; educacion; ensenanza; progreso; prosperidad,
filipinas_000046,filipinas,46,"El hábito modifica profundamente nuestro sér imprimiéndonos un sello peculiar, haciéndonos indeferentes ó gratas y hasta necesarias impresiones y cosas que antes nos eran desagradables ó nocivas; y, nos vuelve fácil los que teníamos por imposible; y en una palabra nos dá una segunda naturaleza trasmisible por la generación.",el habito modifica profundamente nuestro ser imprimiendonos un sello peculiar haciendonos indeferentes o gratas y hasta necesarias impresiones y cosas que antes nos eran desagradables o nocivas y nos vuelve facil los que teniamos por imposible y en una palabra nos da una segunda naturaleza trasmisible por la generacion,49,0,0,0,0.0,neutra,,
filipinas_000047,filipinas,47,"El hábito, la costumbre es la segunda naturaleza del hombre lo mismo que de la mujer; nadie le pone en duda Hay en la naturaleza dos potestades, dos dominios, el del instinto y el del albedrío.",el habito la costumbre es la segunda naturaleza del hombre lo mismo que de la mujer nadie le pone en duda hay en la naturaleza dos potestades dos dominios el del instinto y el del albedrio,36,0,0,0,0.0,neutra,,
filipinas_000048,filipinas,48,"El primero que es más poderoso, más estenso, comprende nuestros impulsos simples é involuntarios.",el primero que es mas poderoso mas estenso comprende nuestros impulsos simples e involuntarios,14,0,0,0,0.0,neutra,,
filipinas_000049,filipinas,49,"El segundo se fortalece á fuerza del cultivo de la razon y de la inteligencia, que produce la firmeza del discernimiento.",el segundo se fortalece a fuerza del cultivo de la razon y de la inteligencia que produce la firmeza del discernimiento,21,2,0,2,0.09523809523809523,positiva,inteligencia; razon,
filipinas_000050,filipinas,50,Los impulsos del instinto son ciegos y se dividen en varios grupos: los que primeramente se desenvuelven son relativos á la conservación de nosotros mismos.,los impulsos del instinto son ciegos y se dividen en varios grupos los que primeramente se desenvuelven son relativos a la conservacion de nosotros mismos,25,0,0,0,0.0,neutra,,
filipinas_000051,filipinas,51,De ahi que el niño ó la niña en su primera edad no sienta naturalmente más que esos impulsos.,de ahi que el nino o la nina en su primera edad no sienta naturalmente mas que esos impulsos,19,0,0,0,0.0,neutra,,
filipinas_000052,filipinas,52,"Siguen luego los impulsos sociales que nos unen con nuestros sejantes, y después los impulsos conservadores de la especie que se dispiertan en la juventud y entran en lucha con las facultades sociales.",siguen luego los impulsos sociales que nos unen con nuestros sejantes y despues los impulsos conservadores de la especie que se dispiertan en la juventud y entran en lucha con las facultades sociales,33,0,0,0,0.0,neutra,,
filipinas_000053,filipinas,53,"Pero á más de esos grupos que se refieren á nuestra conservación individual, á la de nuestra especie y á la de nuestra sociedad, hay Termina en la página 166 Viejos, ya se ve, estaís débiles, porque el tiempo os ha gastado; más no os desespereis.",pero a mas de esos grupos que se refieren a nuestra conservacion individual a la de nuestra especie y a la de nuestra sociedad hay termina en la pagina 166 viejos ya se ve estais debiles porque el tiempo os ha gastado mas no os desespereis,46,0,1,-1,-0.021739130434782608,negativa,,debiles
filipinas_000054,filipinas,54,"Los químicos acaban de descubrir un alimento el más nutritivo, conservativo y reconstituyente de cuantos se conocen hoy día.",los quimicos acaban de descubrir un alimento el mas nutritivo conservativo y reconstituyente de cuantos se conocen hoy dia,19,0,0,0,0.0,neutra,,
filipinas_000055,filipinas,55,"Son los célebres bizcochos de LA FORTUNA Una Ciudad de Sueños Continuación de la página 164 ciudad, la que queda á seís millas de la ciudad y á cerca de mil pies de altura, se hace el viaje por medio de minúsculos tranvías tirados por cuatro mulas.",son los celebres bizcochos de la fortuna una ciudad de suenos continuacion de la pagina 164 ciudad la que queda a seis millas de la ciudad y a cerca de mil pies de altura se hace el viaje por medio de minusculos tranvias tirados por cuatro mulas,47,0,0,0,0.0,neutra,,
filipinas_000056,filipinas,56,"Temíamos que la electricidad hubiese reemplazado estos insignificantes vehículos de locomoción, que tendriamos que ir hasta las alturas arrastrados precipitadamente, que entonces sabríamos que el despertar se habría verificado realmente; porque, ¿qué ciudad podría dormir con esas alborotosas y rechinantes criaturas precipitandose por sus calles? Pero todo era tan delicioso como acostumbraba serlo anteriormente—quizás con un poco más de estrechura por el número de viajeros y de equipaje entonces nos dirijimos por la subida serpenteada á lo largo del arroyo barrialoso; pasamos por en frente de viejos y plomizos muros, galopando y dando la vuelta de una estrecha calle á la otra, con los cocheros haciendo resonar alternativamente sus cornetas de hoja de lata y dándole azotes á las mulas, cuyas pieles desde hacín largo tiempo se habían tornado callosas é indiferentes á todo castigo.",temiamos que la electricidad hubiese reemplazado estos insignificantes vehiculos de locomocion que tendriamos que ir hasta las alturas arrastrados precipitadamente que entonces sabriamos que el despertar se habria verificado realmente porque que ciudad podria dormir con esas alborotosas y rechinantes criaturas precipitandose por sus calles pero todo era tan delicioso como acostumbraba serlo anteriormente quizas con un poco mas de estrechura por el numero de viajeros y de equipaje entonces nos dirijimos por la subida serpenteada a lo largo del arroyo barrialoso pasamos por en frente de viejos y plomizos muros galopando y dando la vuelta de una estrecha calle a la otra con los cocheros haciendo resonar alternativamente sus cornetas de hoja de lata y dandole azotes a las mulas cuyas pieles desde hacin largo tiempo se habian tornado callosas e indiferentes a todo castigo,136,1,1,0,0.0,neutra,despertar,castigo
filipinas_000057,filipinas,57,"A causa de que está tan lejanamente oculta en las colinas, pocos víajeros en México realizan la proximidad de Guanajuato, ó que es una ciudad de 50,000 habitantes, que en un tiempo fué uno de los distritos mineros más famosos del universo También es histórico. y tan antiguo que dificilmente se puede hallar el origen de su historia.",a causa de que esta tan lejanamente oculta en las colinas pocos viajeros en mexico realizan la proximidad de guanajuato o que es una ciudad de 50 000 habitantes que en un tiempo fue uno de los distritos mineros mas famosos del universo tambien es historico y tan antiguo que dificilmente se puede hallar el origen de su historia,59,0,0,0,0.0,neutra,,
filipinas_000058,filipinas,58,"Hay muchas tradiciones con respecto á su orígen, pero la más justificada de todas está en los ricos cuarzos almacenados, allá lejos, en las montañas que la rodean.",hay muchas tradiciones con respecto a su origen pero la mas justificada de todas esta en los ricos cuarzos almacenados alla lejos en las montanas que la rodean,28,0,0,0,0.0,neutra,,
filipinas_000059,filipinas,59,"Pocos turistas encuentran el camino para venir aquí, porque queda á veinte millas de la línea principal del ferrocarril; pero el corazón del viajero debe estar, muerto en verdad si deja de hallar regocijo por unos pocos días en este curioso sitio antigno.",pocos turistas encuentran el camino para venir aqui porque queda a veinte millas de la linea principal del ferrocarril pero el corazon del viajero debe estar muerto en verdad si deja de hallar regocijo por unos pocos dias en este curioso sitio antigno,43,0,1,-1,-0.023255813953488372,negativa,,muerto
filipinas_000060,filipinas,60,"Está construida en un barranco—uno de muchos, en un laberinto de montañas—y como la ciudad creció tuvo necesidad de economizar en espacio, aun en pulgadas puede decirse, sometiéndose á e trechas callejuelas. (Se continuará) Madres, ¿quereis criar á vuestros hijos sanos y robustos para que en el día de mañana sean dignos apoyos de la Pátria querida? Alimentadlos con los fabricados bizcochos de LA FORTUNA. 166 ""FILIPINAS"" INFORMACIONES ÚTILES EL LIMÓN CONTRA LAS VÍBORAS.",esta construida en un barranco uno de muchos en un laberinto de montanas y como la ciudad crecio tuvo necesidad de economizar en espacio aun en pulgadas puede decirse sometiendose a e trechas callejuelas se continuara madres quereis criar a vuestros hijos sanos y robustos para que en el dia de manana sean dignos apoyos de la patria querida alimentadlos con los fabricados bizcochos de la fortuna 166 filipinas informaciones utiles el limon contra las viboras,76,2,0,2,0.02631578947368421,positiva,dignos; utiles,
filipinas_000061,filipinas,61,Pide un diario de S.,pide un diario de s,5,0,0,0,0.0,neutra,,
filipinas_000062,filipinas,62,"Paulo, Brasil, que por amor á la humanidad se dé publicidad á este hecho: Un agricultor fué mordido en la pierna por una víbora de cascabel.",paulo brasil que por amor a la humanidad se de publicidad a este hecho un agricultor fue mordido en la pierna por una vibora de cascabel,26,1,1,0,0.0,neutra,amor,mordido
filipinas_000063,filipinas,63,"Sin impresionarse por este hecho tomó un limón agrio, lo cortó en mitades, á las que adicionó cierta cantidad de sal de cocína y los puso activamente en el fuego, aplicándose las cuando hervían, á manera de cauterio, en las heridas dejadas por la vibora.",sin impresionarse por este hecho tomo un limon agrio lo corto en mitades a las que adiciono cierta cantidad de sal de cocina y los puso activamente en el fuego aplicandose las cuando hervian a manera de cauterio en las heridas dejadas por la vibora,45,0,1,-1,-0.022222222222222223,negativa,,heridas
filipinas_000064,filipinas,64,"Repitió la operación durante algunos instantes, colocó una ligadura en la parte superior de la pierna, y sin dar importancia al caso prosigió su trabajo durante el día.",repitio la operacion durante algunos instantes coloco una ligadura en la parte superior de la pierna y sin dar importancia al caso prosigio su trabajo durante el dia,28,1,0,1,0.03571428571428571,positiva,superior,
filipinas_000065,filipinas,65,"El agricultor manifestó que después de mordido por la vibora apenas sintió leve peso en la cabeza, el que desaparecció en segnida del canterio.",el agricultor manifesto que despues de mordido por la vibora apenas sintio leve peso en la cabeza el que desapareccio en segnida del canterio,24,0,2,-2,-0.08333333333333333,negativa,,mordido; peso
