sentence_id,documento,orden_frase,frase_original,frase_normalizada,n_palabras
heraldo_000049,heraldo,49,"N E HILIALDO DE LA MUEL ANTES ALBUM PUERTORRIQUENO Revista Quincenal Bilingue, Defensora de los Derechos de la Mujer DIRECTORA ADMINISTRADORA.—Ana Roqué de Duprey.",n e hilialdo de la muel antes album puertorriqueno revista quincenal bilingue defensora de los derechos de la mujer directora administradora ana roque de duprey,25
heraldo_000051,heraldo,51,Geraldine Maud Froscher.,geraldine maud froscher,3
heraldo_000052,heraldo,52,"R — EMALas autorracias y democracias a medias, están condenadas a desaparecer baridas por el humano progreso.",r emalas autorracias y democracias a medias estan condenadas a desaparecer baridas por el humano progreso,16
heraldo_000053,heraldo,53,S — — ANUNCIOS—l página................. 8900 SUESTRIPCION.—Un trimestre (pago adelantado. 505 un erene 19 un ju santener 19 A L. a merece.,s anuncios l pagina 8900 suestripcion un trimestre pago adelantado 505 un erene 19 un ju santener 19 a l a merece,22
heraldo_000056,heraldo,56,ABRIL 15 DE 1919.,abril 15 de 1919,4
heraldo_000058,heraldo,58,A N R. las una es de alma.,a n r las una es de alma,8
heraldo_000059,heraldo,59,"Entered as second clas maller lune 15, 1918 at he Post ofice al Humacao.",entered as second clas maller lune 15 1918 at he post ofice al humacao,14
heraldo_000064,heraldo,64,SUMARIO 2 NUESTRO STATOS POLITICO............................,sumario 2 nuestro statos politico,5
heraldo_000065,heraldo,65,Ana Roqué de Duprey Dña.,ana roque de duprey dna,5
heraldo_000066,heraldo,66,JOSEFA AGUAYO VENTURA...............................,josefa aguayo ventura,3
heraldo_000067,heraldo,67,La Redacción EL EMPRESTITO DE LA VICTORIA.............................,la redaccion el emprestito de la victoria,7
heraldo_000068,heraldo,68,Alfredo Conzález TODO EL MUNDO DESPERTA.........................,alfredo conzalez todo el mundo desperta,6
heraldo_000069,heraldo,69,Ana Roqué de Duprey ROMANCITO................... poesía...............,ana roque de duprey romancito poesia,6
heraldo_000070,heraldo,70,Fidela M. de Rodríguez ENGLISH SECTION IN THE UNITED STATES........................,fidela m de rodriguez english section in the united states,10
heraldo_000071,heraldo,71,INTERNATIONAL WOMANS SUFERACE. he ray lad.,international womans suferace he ray lad,6
heraldo_000072,heraldo,72,Davia oray AMONO WOMAN OS LATIN COUNTRIES.............................. y cerardine Mala roscher Representantes de Heraldo de la Mujer.............................,davia oray amono woman os latin countries y cerardine mala roscher representantes de heraldo de la mujer,17
heraldo_000075,heraldo,75,Margarita de brado PLUMAZOS.................,margarita de brado plumazos,4
heraldo_000076,heraldo,76,Ayuntamiento de Madrid HERALDO DE LA MUJER.,ayuntamiento de madrid heraldo de la mujer,7
heraldo_000078,heraldo,78,"HaNUESTRO STATUS POLITICO F L Todo pueblo digno aspira á su independencia, eso es maudable.",hanuestro status politico f l todo pueblo digno aspira a su independencia eso es maudable,15
heraldo_000079,heraldo,79,"Hay en Puerto Rico un partido independentista, consrido ener mayor parte porios estunantes de seamos superes la juventun por lo general no tiene la razón aturada por la muerener sustenta cas siempre desramente sin derecreer ensurar en el muina. fueron como mo uno de los nues de la puntacena, para el en ensa naturamente tenemos la muerenen en elenar pero nuestra capera mues que los que contienes muere miro por entre estra Auerra aurosotra que la mercanas. vamos ver lo que na buque en puerto men este raramiento de las tras nemente.",hay en puerto rico un partido independentista consrido ener mayor parte porios estunantes de seamos superes la juventun por lo general no tiene la razon aturada por la muerener sustenta cas siempre desramente sin derecreer ensurar en el muina fueron como mo uno de los nues de la puntacena para el en ensa naturamente tenemos la muerenen en elenar pero nuestra capera mues que los que contienes muere miro por entre estra auerra aurosotra que la mercanas vamos ver lo que na buque en puerto men este raramiento de las tras nemente,92
heraldo_000080,heraldo,80,"Primeramente las palabras de la que presea porosas parte en derecho que tienen unos los pueblos de la era las prenta terminaciona Vicas, el misterar nuestra suncion económica. que esta bocada ponersamente de esas ma. buenaremos las espeindudablemente la guerra la presuerto el alga de los precios en los muretos de primera nuesiadpero la guerra ha terminado y el menos un han el pnero de peque las presiones que se maneparan por mar. actores que mar paratos puras las manos de empela despara Europa, pero empena punto en las una canas mujeres que de manera santenara los melas de los arrentos mas necesarios para la vida, empelamenteras.",primeramente las palabras de la que presea porosas parte en derecho que tienen unos los pueblos de la era las prenta terminaciona vicas el misterar nuestra suncion economica que esta bocada ponersamente de esas ma buenaremos las espeindudablemente la guerra la presuerto el alga de los precios en los muretos de primera nuesiadpero la guerra ha terminado y el menos un han el pnero de peque las presiones que se maneparan por mar actores que mar paratos puras las manos de empela despara europa pero empena punto en las una canas mujeres que de manera santenara los melas de los arrentos mas necesarios para la vida empelamenteras,107
heraldo_000081,heraldo,81,"Los Estados Unidos es un pueblo rico, y bien sabido es que mientras mas en es el pueblo, mas ento cuenta todo lo que el puePuerto Rico es un pueblo excesivamente pobre y tiene que pagar los los arrientos presivamente esos somos pures por rales de nuestas y purene era ser muapara en manos estanteras la mayor parte las que en tras pienes esencias en la cada de encar vener el para sas amanetas, sin estar enenen estra amar del encion asias estantes eneramente muerene que pagran en este muertorreno aque espiotan de en moso manado los mismo que es unacero que vue muren tambre y en me er miEs precios tener en cuenta que como la isla no pone los ensue tono de siene a importar el merciante necesionales de empen el persante puertorriqueno, ante la me por ese en queterna un relante es una ene nos herendo por eso en man en ambineamanes a esto que nuestras quenas estan recaradas a nuestos arrer muere los mas, es quienes hay que pasante encarnes susiade como el puere muy nera de verse asuncionEl puertorriqueño ros el hueso, con los suelos exignos.",los estados unidos es un pueblo rico y bien sabido es que mientras mas en es el pueblo mas ento cuenta todo lo que el puepuerto rico es un pueblo excesivamente pobre y tiene que pagar los los arrientos presivamente esos somos pures por rales de nuestas y purene era ser muapara en manos estanteras la mayor parte las que en tras pienes esencias en la cada de encar vener el para sas amanetas sin estar enenen estra amar del encion asias estantes eneramente muerene que pagran en este muertorreno aque espiotan de en moso manado los mismo que es unacero que vue muren tambre y en me er mies precios tener en cuenta que como la isla no pone los ensue tono de siene a importar el merciante necesionales de empen el persante puertorriqueno ante la me por ese en queterna un relante es una ene nos herendo por eso en man en ambineamanes a esto que nuestras quenas estan recaradas a nuestos arrer muere los mas es quienes hay que pasante encarnes susiade como el puere muy nera de verse asuncionel puertorriqueno ros el hueso con los suelos exignos,191
heraldo_000082,heraldo,82,"Estados que pasanos como mionarios sienas espuesto en panes puras y para mostener es gobierno lues enemos mujeres un sus cuanto namente y desuno, como los partas de la inlas pasolo engrante exaltado con precitas mal anas de espirabres que enen hace es gusto conde este en un en el purenes nerorqueno, que no tiene la cupa, y que se ve tamben por las mismas esAyuntamiento de Madrid A los Sres, epresentantes Americanos: sas, en el lecho de Procusto, y que bien podría de cile a ente pueblo puesto que lo increos, lo que muererana del e aninos enenos mernan cures los tan agan en unas para inAcaso estoy vo en un lecho de rosas? otra casa hay que pertura mucho a nuestra las: Estos los que tan terno las pronta de los Estados inlos han vinte que incistera de menin que las mercanlas en ameras pagaran sus derechos de aquena en las colorias los mue mupiera pereccion espor en en melaceres, las colores entan presamente que empre la madre para el peso que querian imponente las esporadores las merencias erraneras nos que mubiera poun compra mas paratas buenas retamente. una este mismo pas nos en pues los mien los proquctos erranterna venes de una por en empor de Emana, lo que la empranamos a la merepor los costena prepara.",estados que pasanos como mionarios sienas espuesto en panes puras y para mostener es gobierno lues enemos mujeres un sus cuanto namente y desuno como los partas de la inlas pasolo engrante exaltado con precitas mal anas de espirabres que enen hace es gusto conde este en un en el purenes nerorqueno que no tiene la cupa y que se ve tamben por las mismas esayuntamiento de madrid a los sres epresentantes americanos sas en el lecho de procusto y que bien podria de cile a ente pueblo puesto que lo increos lo que muererana del e aninos enenos mernan cures los tan agan en unas para inacaso estoy vo en un lecho de rosas otra casa hay que pertura mucho a nuestra las estos los que tan terno las pronta de los estados inlos han vinte que incistera de menin que las mercanlas en ameras pagaran sus derechos de aquena en las colorias los mue mupiera pereccion espor en en melaceres las colores entan presamente que empre la madre para el peso que querian imponente las esporadores las merencias erraneras nos que mubiera poun compra mas paratas buenas retamente una este mismo pas nos en pues los mien los proquctos erranterna venes de una por en empor de emana lo que la empranamos a la merepor los costena prepara,220
heraldo_000083,heraldo,83,"Además, nosotros pocíamos hacer contatos recircos a que las naciones de Europa, para conteguir buenos merente para muesto de y aprener suelos suelos necesarios para nuestra vue con un enos y como mas peso quertos arenas embre.",ademas nosotros pociamos hacer contatos recircos a que las naciones de europa para conteguir buenos merente para muesto de y aprener suelos suelos necesarios para nuestra vue con un enos y como mas peso quertos arenas embre,37
heraldo_000084,heraldo,84,POR ES PUERTO RICO ASPIRA A SE INDEREN.,por es puerto rico aspira a se inderen,8
heraldo_000086,heraldo,86,"Quiere vivir con lo que tiene, sin contraer dendas. ques que tos patros una estan sus ponas las encinas muernatras ven en ellas que en muar los empesos eretener es en en sus me en amores acente y que ana empre se antene, meante erenen enen se se eniarrera emprar ente la ventan mas parato Faner tenerla entes de unas tratas de conso con todos los pates del mundo y comprar arreramente en mos los preas. quiera benenciase de los derechos de aquena que paguen todos los erestos importar. despues de un delicado amen conta acentaron el caborase con los Estados unos y declarar puertortano agan un a estos que es uninmuere eleer en esternos y lenas empende del envo, por eleccior pupular y papara la meren, se derreno de soberana, aceptanos el representante que ena me.",quiere vivir con lo que tiene sin contraer dendas ques que tos patros una estan sus ponas las encinas muernatras ven en ellas que en muar los empesos eretener es en en sus me en amores acente y que ana empre se antene meante erenen enen se se eniarrera emprar ente la ventan mas parato faner tenerla entes de unas tratas de conso con todos los pates del mundo y comprar arreramente en mos los preas quiera benenciase de los derechos de aquena que paguen todos los erestos importar despues de un delicado amen conta acentaron el caborase con los estados unos y declarar puertortano agan un a estos que es uninmuere eleer en esternos y lenas empende del envo por eleccior pupular y papara la meren se derreno de soberana aceptanos el representante que ena me,137
heraldo_000087,heraldo,87,"Con estas condiciones, y otras que acordarán las Cemaras, CARA PUERTO RICO UNA ANILA ANTO.",con estas condiciones y otras que acordaran las cemaras cara puerto rico una anila anto,15
heraldo_000089,heraldo,89,"Y las tropas puertorriqueñas, mantenidas por el gopero amenemos sentan propas resultantes del gran ejercio de la Nación mas grande de la tierra, a las que cada puerte. estan venertoriquena puras amor y alenidad. raternos des amor de la atención de esguiernos que puras ser estantemeninos un en ene la Nacios americana nos una nuestra interesencia con a presionado mentante que tener este la peamos. creemos interpretar el pensar de la mayoria de las Mujeres puertorriquenas.",y las tropas puertorriquenas mantenidas por el gopero amenemos sentan propas resultantes del gran ejercio de la nacion mas grande de la tierra a las que cada puerte estan venertoriquena puras amor y alenidad raternos des amor de la atencion de esguiernos que puras ser estantemeninos un en ene la nacios americana nos una nuestra interesencia con a presionado mentante que tener este la peamos creemos interpretar el pensar de la mayoria de las mujeres puertorriquenas,76
heraldo_000090,heraldo,90,Ana Roqué de apren.,ana roque de apren,4
heraldo_000091,heraldo,91,"HERALDO DE LA MUJER CREPRESENIANTES DE HERALDO DE LA MUJER En vista del favor que vienen dispensando a nuestra Revista Femenina, tanto las más distinguidas Señoras, como los Caballeros más cultos, hemos decidido nombrar una señora o señorita, entre las más prestigiosas de cada población de Puerto Rico, como Representante de HERALDO DE LA MUJERN, que es el PORTAESTANDARTE DE LA CULTURA FEMENINA.",heraldo de la mujer crepreseniantes de heraldo de la mujer en vista del favor que vienen dispensando a nuestra revista femenina tanto las mas distinguidas senoras como los caballeros mas cultos hemos decidido nombrar una senora o senorita entre las mas prestigiosas de cada poblacion de puerto rico como representante de heraldo de la mujern que es el portaestandarte de la cultura femenina,63
heraldo_000092,heraldo,92,No exigimos a nuestra representante que sea precisamente una feminista convencida basta que sea una mujer progresista y que se interese por la cultura de las puertorriqueñas.,no exigimos a nuestra representante que sea precisamente una feminista convencida basta que sea una mujer progresista y que se interese por la cultura de las puertorriquenas,27
heraldo_000093,heraldo,93,"Este cargo es honorífico pudiendo dichas representantes nombrar agentes en cada población para la propaganda y cobro de suscripciones, cuya comisión abonaremos nosotros.",este cargo es honorifico pudiendo dichas representantes nombrar agentes en cada poblacion para la propaganda y cobro de suscripciones cuya comision abonaremos nosotros,23
heraldo_000094,heraldo,94,"Esta Señora o Señorita, representará a HERALDO DE LA MUJER en toda fiesta o acto social y público de la localidad; y, si le es posible, nos enviará unas ligeras notas de él, sin ser esto indispensable.",esta senora o senorita representara a heraldo de la mujer en toda fiesta o acto social y publico de la localidad y si le es posible nos enviara unas ligeras notas de el sin ser esto indispensable,37
heraldo_000095,heraldo,95,"Se le entregará una tarieta en donde conste la representación que obstenta, como porta estandarte de la cultura femenina; y su nombre, si no lo lleva a mal, figurará en el periódico, e iremos publicando los retratos de todas las representantes.",se le entregara una tarieta en donde conste la representacion que obstenta como porta estandarte de la cultura femenina y su nombre si no lo lleva a mal figurara en el periodico e iremos publicando los retratos de todas las representantes,41
heraldo_000096,heraldo,96,"Más tarde, cuando hayamos logrado formar la gran LIGA INTERNACIONAL LAINOAMERICANA, integrada por las literatas y mujeres más prestigiosas de la América-Latina, será un miembro de ella.",mas tarde cuando hayamos logrado formar la gran liga internacional lainoamericana integrada por las literatas y mujeres mas prestigiosas de la america latina sera un miembro de ella,28
heraldo_000097,heraldo,97,"Estamos recibiendo cartas de aceptacion a nuestra patriótica idea, y quizás en el número proximo, empezaremos a publicar los nombres de las prestigiosas señoras que vahan aceptado.",estamos recibiendo cartas de aceptacion a nuestra patriotica idea y quizas en el numero proximo empezaremos a publicar los nombres de las prestigiosas senoras que vahan aceptado,27
heraldo_000098,heraldo,98,"Por una combinación que hemos hecho con Pictorial Revien de Nueva York, la subscrinción anual de ambos periódicos unidos, solo costará 85 Dentro de pocos meses Heraldo de la Mujer, se publicará en San Juan. quesEN LA FICINA POSTAL La siguiente información ha sido summistrada al Sr.",por una combinacion que hemos hecho con pictorial revien de nueva york la subscrincion anual de ambos periodicos unidos solo costara 85 dentro de pocos meses heraldo de la mujer se publicara en san juan quesen la ficina postal la siguiente informacion ha sido summistrada al sr,47
heraldo_000099,heraldo,99,"Postmaster de Humacao, en su oficina postal de esta Ciudad, de acuerdo con el acta del Congreso de agosto 23 de 1912.",postmaster de humacao en su oficina postal de esta ciudad de acuerdo con el acta del congreso de agosto 23 de 1912,22
heraldo_000100,heraldo,100,HERALDO de la MUJER..........................................,heraldo de la mujer,4
heraldo_000104,heraldo,104,Ana Roqué de Duprey......................,ana roque de duprey,4
heraldo_000108,heraldo,108,Ana Roqué de Duprey......................,ana roque de duprey,4
heraldo_000112,heraldo,112,Geraldine Maud Froscher......................,geraldine maud froscher,3
heraldo_000116,heraldo,116,Ana Roqué de Duprey...................,ana roque de duprey,4
heraldo_000120,heraldo,120,Ana Roque de Duprey.......................,ana roque de duprey,4
heraldo_000124,heraldo,124,"Gonzalez Fagundo, Ayuntamiento de Madrid Notario Público.",gonzalez fagundo ayuntamiento de madrid notario publico,7
heraldo_000125,heraldo,125,HERALDO DE LA MUJER EL EMPRESIIIO de la VICIURIA.,heraldo de la mujer el empresiiio de la viciuria,9
heraldo_000127,heraldo,127,Joseta Aguavo de ventura.,joseta aguavo de ventura,4
heraldo_000128,heraldo,128,"El mundo acaba de contemplar la terminación de la quera mas eruenta humana enciosa de la metuna de las en esencias no se ha esenta un solo habitante de la para sonas ques que ha panas no se numano, porportas de esos que estuviera de la contenta la venta que gente la enrieron arres en el maron casto de mas y menoreseampanadesparada mina a la mpues el gran numero repues de repes de agunane muere en na sino las de muy el mundo ante la purenes de prilena plantes de en los camposas usana europeos reinara espreer se apara la empera; ba eran del estaban cometiendo las naciones pera. los abstenciones unas ante en la anuienda en espeEn el mar amenarana entrar pero los Estados Unidos acorison sus unaciones eurosas y en pueron en el unos y con un entusiasus una eterninacionespera. los por las menes santinan de la ensar maner en espada espacio de la palabra via empera que al de ella ramarines establecida en unos los corazones mujer las mujer los que es mas emosinante mujer de genenes unas que el puesto en que esta nación pago ese serinpredentoren pensar de la unamina.",el mundo acaba de contemplar la terminacion de la quera mas eruenta humana enciosa de la metuna de las en esencias no se ha esenta un solo habitante de la para sonas ques que ha panas no se numano porportas de esos que estuviera de la contenta la venta que gente la enrieron arres en el maron casto de mas y menoreseampanadesparada mina a la mpues el gran numero repues de repes de agunane muere en na sino las de muy el mundo ante la purenes de prilena plantes de en los camposas usana europeos reinara espreer se apara la empera ba eran del estaban cometiendo las naciones pera los abstenciones unas ante en la anuienda en espeen el mar amenarana entrar pero los estados unidos acorison sus unaciones eurosas y en pueron en el unos y con un entusiasus una eterninacionespera los por las menes santinan de la ensar maner en espada espacio de la palabra via empera que al de ella ramarines establecida en unos los corazones mujer las mujer los que es mas emosinante mujer de genenes unas que el puesto en que esta nacion pago ese serinpredentoren pensar de la unamina,195
heraldo_000129,heraldo,129,"Las naciones sino americanas deben ser las primeras enreconoceres acaen maneranas primer el la rata de un esposo entenamiento nata unto era en el pasado se la nacios que erana genera de sus mos gasta ineralmente sus resuras perentes quelos sin muran eguiara mujeres en enento entemente de apar y muerera de uno es una masan en que es ene enanar el para se en mines de habitantes, las mas proso de mundo que mumente era enupirador. pobre una nes de naciones para estar eneras y satanmar las interesencia de los renas porvenenos dos en, para ene miranes nos repernes arrien, en agra contrar en esposa impena.",las naciones sino americanas deben ser las primeras enreconoceres acaen maneranas primer el la rata de un esposo entenamiento nata unto era en el pasado se la nacios que erana genera de sus mos gasta ineralmente sus resuras perentes quelos sin muran eguiara mujeres en enento entemente de apar y muerera de uno es una masan en que es ene enanar el para se en mines de habitantes las mas proso de mundo que mumente era enupirador pobre una nes de naciones para estar eneras y satanmar las interesencia de los renas porvenenos dos en para ene miranes nos repernes arrien en agra contrar en esposa impena,107
heraldo_000130,heraldo,130,Los latino americanos debemos reconocer y esteriorar esos sentimientos que nos levaran una mejor inte. generas primeros sereamientos en este pares que nos entara amario de las nos mueras nuras que tenemos que mos aseparan nuestra muertas pues ementes y las independencia de muestras recibienen estos momentos de tos presenta a queruinas de pamueres sermientos en este en empresion ella meen de tener ese esto dentes de poen cualquenos tanto en quero que panamos es unos de es empresio que sera para pagar los manos pasios de la muera y emostremos es que menos compre mino y pero los mantes esmeros de este para para secreta la humanas una vias mejor tranque ibre.,los latino americanos debemos reconocer y esteriorar esos sentimientos que nos levaran una mejor inte generas primeros sereamientos en este pares que nos entara amario de las nos mueras nuras que tenemos que mos aseparan nuestra muertas pues ementes y las independencia de muestras recibienen estos momentos de tos presenta a queruinas de pamueres sermientos en este en empresion ella meen de tener ese esto dentes de poen cualquenos tanto en quero que panamos es unos de es empresio que sera para pagar los manos pasios de la muera y emostremos es que menos compre mino y pero los mantes esmeros de este para para secreta la humanas una vias mejor tranque ibre,113
heraldo_000132,heraldo,132,NOTA.—También las mujeres latino americanas debenos mudar a la gran sus que nos el mundo el camino de nuestra reparados metar bramos a la en esperan todas las intas de la mante amente.,nota tambien las mujeres latino americanas debenos mudar a la gran sus que nos el mundo el camino de nuestra reparados metar bramos a la en esperan todas las intas de la mante amente,34
heraldo_000134,heraldo,134,"Hoy se honra nuestra Portada, con el retrato de la Sra.",hoy se honra nuestra portada con el retrato de la sra,11
heraldo_000135,heraldo,135,"Aguavo de ventura, inspirada compositora puertorriquena, y excelente pianista que nos ha poseguiado con varias preciosas pienas de surepertorio, tituladas Bareorola Lencioje de Ruen meveres, por la pas.",aguavo de ventura inspirada compositora puertorriquena y excelente pianista que nos ha poseguiado con varias preciosas pienas de surepertorio tituladas bareorola lencioje de ruen meveres por la pas,28
heraldo_000136,heraldo,136,Plario á la virnen.,plario a la virnen,4
heraldo_000137,heraldo,137,"Maca Sacral mumno a mi patria quetra y masica, Radiosa qularuta.",maca sacral mumno a mi patria quetra y masica radiosa qularuta,11
heraldo_000138,heraldo,138,"Ladia, poca. rodas estas bellas composiciones tienen una dulcura y un encanto, que revelan á la primera audición que ha sido el alma elevada de una mujer la que les dió forma. cierto es que la Sra.",ladia poca rodas estas bellas composiciones tienen una dulcura y un encanto que revelan a la primera audicion que ha sido el alma elevada de una mujer la que les dio forma cierto es que la sra,37
heraldo_000139,heraldo,139,"Aguayo de ventura procede de una familia de artistas, por eso la armoniosa y arrobadora Enterne inspira sus bellaseres. ciones que tienen la frescura del ambiente perfumado de esta tierra del sol.",aguayo de ventura procede de una familia de artistas por eso la armoniosa y arrobadora enterne inspira sus bellaseres ciones que tienen la frescura del ambiente perfumado de esta tierra del sol,32
